Approx Duration (ms),Video Description (Original),Video Title (Original),Video Publish Timestamp
906000,"Most of us cannot afford to purchase our own Nvidia graphics card for deep learning. Luckily, Google makes it possible for us to get started with deep learning using Tensorflow and GPU/TPU. 

This video provides a quick overview of Google Colab and walks you through the process of mounting Google Drive and getting started with deep learning using GPU acceleration.",147 - Getting started with Google Colaboratory for deep learning,2020-08-06T07:00:09+00:00
2204000,"Imbalanced data is part of life! With a proper knowledge of the data set and a few techniques from this video imbalanced data can be easily managed. 

Prerequisites: Pick the right metrics as overall accuracy does not provide information about the accuracy of individual classes. Look at confusion matrix and ROC_AUC.

Technique 0: Collect more data, if possible. 
Technique 1: Pick decision tree based approaches as they work better than logistic regression or SVM. Random Forest is a good algorithm to try but beware of over fitting. 
Technique 2: Up-sample minority class
Technique 3: Down-sample majority class 
Technique 4: A combination of Over and under sampling. 
Technique 5: Penalize learning algorithms that increase cost of classification 
mistakes on minority classes.
Technique 6: Generate synthetic data (SMOTE, ADASYN)
Technique 7: Add appropriate weights to your deep learning model. 

References:
https://imbalanced-learn.org/stable/over_sampling.html?highlight=smote
https://scikit-learn.org/stable/modules/generated/sklearn.metrics.roc_auc_score.html

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists",148 - 7 techniques to work with imbalanced data for machine learning in python,2020-08-11T07:00:07+00:00
1620000,"Imbalanced data is part of life! With a proper knowledge of the data set and appropriate techniques imbalanced data can be easily managed. 

This video uses the Indian Liver Disease data (link below) to demonstrate the use of data up-scaling (and SMOTE) for minority class to improve accuracy. 

References:
Dataset:
https://www.kaggle.com/uciml/indian-liver-patient-records

ROCAUC using Yellowbrick:
https://www.scikit-yb.org/en/latest/api/classifier/rocauc.html

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists",149 - Working with imbalanced data for ML - Demonstrated using liver disease data,2020-08-13T07:00:03+00:00
659000,"Image transformation operations, including the ones provided by ImageDataGenerator class from keras, modify numpy arrays based on the user description. The modification of these arrays may yield unintended results as the data may be modified from interpolation. If the user is not careful in spotting these issues the results may turn out to be meaningless. This is especially true when working with categorical labels where each label value needs to be conserved throughout the training and prediction process. 

This video walks you through this issue and also offers suggestions on how to handle data augmentation for categorical labels. Custom code for augmentation can be downloaded here: https://github.com/bnsreenu/python_for_microscopists",150 - Warning about keras' data augmentation when working with categorical labels,2020-08-18T07:00:05+00:00
387000,"Images in JPG format are excellent for social media sharing and quick email exchanges. They may also be used for scientific image analysis if the features of interest are large enough and are relatively unaffected by JPG compression. JPG cannot be used for applications requiring categorical labels, applications such as semantic segmentation. This video demonstrates the reasons behind the warning. 

Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists",151 Warning about JPG files when working with categorical labels,2020-08-20T07:00:07+00:00
664000,"This tutorial explains the few lines of code to visualize outputs of convolutional layers in any deep learning model. 

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",152 - How to visualize convolutional filter outputs in your deep learning model?,2020-08-24T23:10:31+00:00
1915000,"Want to learn about artificial neural network (ANN) from the perspective of linear regression? This tutorial explains ANN using heart disease data set and walks you through the process of calculating results using trained weights and biases. 

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",153 - Artificial Neural Networks - Explanation for those who understand linear regression,2020-08-26T23:44:44+00:00
1667000,"Loss curves contain a lot of information about training of an artificial neural network. This video goes through the interpretation of various loss curves generated using the Wisconsin breast cancer data set. 
https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+(Diagnostic)

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",154 - Understanding the training and validation loss curves,2020-09-01T05:00:07+00:00
358000,"A very short video to explain the process of assigning GPU memory for TensorFlow calculations. 

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",156 - How to limit GPU memory usage for TensorFlow?,2020-09-08T06:00:03+00:00
1133000,"TensorBoard can be very useful to view training model and loss/accuracy curves in a dashboard. This video explains the process of setting up TensorBoard callback during training and also to open the recorded logs in a browser. 

Dataset downloaded from: https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+(Diagnostic)

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",157 - What is TensorBoard and how to launch it in a browser?,2020-09-10T06:00:02+00:00
1634000,"Deep learning is far superior to traditional machine learning with loads of training data. But, for limited training data traditional machine learning (e.g. Random Forest or SVM) may outperform deep learning. For image processing applications features need to be extracted / engineered for improved accuracy. Alternatively, features can be extracted from convolutional filters that are part of convolutional neural networks. 

This video goes through the process of extracting features using convolutional filters and using them as inputs to a traditional Random Forest classifier to develop an image classification solution. This approach is specifically designed for image classification of custom datasets.

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",158 - Convolutional filters + Random Forest for image classification.,2020-09-15T06:00:02+00:00
1144000,"Deep learning is far superior to traditional machine learning with loads of training data. But, for limited training data traditional machine learning (e.g. Random Forest or SVM) may outperform deep learning. For image processing applications features need to be extracted / engineered for improved accuracy. Alternatively, features can be extracted from convolutional filters that are part of convolutional neural networks. 

This video goes through the process of extracting features using convolutional filters and using them as inputs to a traditional Random Forest classifier to develop an image segmentation solution. You will find this approach to be easier to implement compared to U-net and you'll also find the results to be spectacular!!!


Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 

https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing",159 - Convolutional filters + Random Forest for image segmentation.,2020-09-17T09:00:03+00:00
1446000,"No one can give a definite answer to the question about number of neurons and hidden layers. This is because the answer depends on the data itself. This video goes through the thought process of determining the number of hidden layers and neurons using simple code as example. 

#Dataset link:
https://cdn.scribbr.com/wp-content/uploads//2020/02/heart.data_.zip?_ga=2.217642335.893016210.1598387608-409916526.1598387608

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",155 - How many hidden layers and neurons do you need in your artificial neural network?,2020-09-03T06:00:04+00:00
1488000,"Data set link: https://www.epfl.ch/labs/cvlab/data/data-em/

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",160 - When to retrain your ML model and what is the best way to re-train?,2020-09-22T08:00:06+00:00
1099000,"Dataset from: https://www.kaggle.com/rakannimer/air-passengers

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",162 - An introduction to time series forecasting - Part 2 Exploring data using python,2020-09-29T08:00:16+00:00
1280000,"Dataset from: https://www.kaggle.com/rakannimer/air-passengers

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",163 - An introduction to time series forecasting - Part 3 Using ARIMA in python,2020-10-01T08:00:03+00:00
1256000,"Dataset from: https://www.kaggle.com/rakannimer/air-passengers

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",164 - An introduction to time series forecasting - Part 4 Using feed forward neural networks,2020-10-06T08:00:06+00:00
1172000,"RNN - Recurrent neural networks

Long short-term memory (LSTM) is an artificial recurrent neural network (RNN) architecture used in the field of deep learning. Unlike standard feed forward neural networks, LSTM has feedback connections.",165 - An introduction to RNN and LSTM,2020-10-08T08:00:03+00:00
1422000,"Dataset from: https://www.kaggle.com/rakannimer/air-passengers

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",166 - An introduction to time series forecasting - Part 5 Using LSTM,2020-10-13T08:00:00+00:00
778000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",161 - An introduction to time series forecasting - Part 1,2020-09-24T08:00:04+00:00
1534000,"This video explains the process of using pretrained weights (VGG16) as feature extractors for traditional machine learning classifiers (Random Forest). 

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Keras pretrained models: https://keras.io/api/applications/",158b - Transfer learning using CNN (VGG16) as feature extractor and Random Forest classifier,2020-09-22T21:52:36+00:00
397000,A brief summary about myself...,Who is Sreeni and what does he do with the ad-revenue from his YouTube channel?,2020-09-29T17:22:09+00:00
1749000,"LSTMs are great for timeseries forecasting and sequence predictions. This makes them appropriate for natural language prediction. This tutorial explains the process of training an LSTM network on English text and predicting letters based on the training. 

Reference: https://www.gutenberg.org/
Text file link: http://www.gutenberg.org/ebooks/236

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",167 - Text prediction using LSTM (English text),2020-10-15T07:00:13+00:00
1135000,"LSTMs are great for timeseries forecasting and sequence predictions. This makes them appropriate for natural language prediction. This tutorial explains the process of training an LSTM network on Hindi and Telugu text and predicting letters based on the training. 

Reference: Reference: https://www.gutenberg.org/
Telugu text file: http://www.gutenberg.org/ebooks/39561

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",168 - Text prediction using LSTM - Non-English example using Hindi and Telugu letters.,2020-10-20T07:00:08+00:00
1310000,"For image annotation and to run this code as a workflow online:
www.apeer.com

NOTE: APEER is free to use for individuals, students, researchers and non-profits. 

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 

https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing

This video explains the process of extracting features using pretrained VGG16 imagenet weights and using the feature to train a Random Forest model for semantic segmentation. You find find the results to be better than U-net for limited training data.",159b - Pretrained CNN (VGG16 - imagenet) features for semantic segmentation using Random Forest,2020-10-02T22:43:09+00:00
811000,"AutoKeras is an AutoML system based on Keras. The goal of AutoKeras is to make machine learning accessible for everyone. It suggests the best machine learning model by fitting data to various models and hyperparameters. 

This video explains the process of getting your system ready for AutoKeras installation and verifying the installation by running AutoKeras on mnist data set. 

Installation instructions: https://autokeras.com/

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",169 - Deep Learning made easy with AutoKeras,2020-10-22T07:00:01+00:00
948000,"AutoKeras is an AutoML system based on Keras. The goal of AutoKeras is to make machine learning accessible for everyone. It suggests the best machine learning model by fitting data to various models and hyperparameters. 

This video explains the use of AutoKeras for structured data classification. 

Installation instructions: https://autokeras.com/

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",170 - AutoKeras for structured data classification using the Wisconsin breast cancer data set,2020-10-27T07:00:03+00:00
730000,"AutoKeras is an AutoML system based on Keras. The goal of AutoKeras is to make machine learning accessible for everyone. It suggests the best machine learning model by fitting data to various models and hyperparameters. 

This video explains the use of AutoKeras for image classification. 

Installation instructions: https://autokeras.com/

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",171 - AutoKeras for image classification using cifar10 data set,2020-10-29T07:00:05+00:00
97000,,Digital Sreeni Channel name change from Python for Microscopists,2020-10-07T00:19:18+00:00
426000,"Top k accuracy is how many times the correct label is within 
the top k classes predicted by the network.

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",172 - Top k accuracy for multiclass machine learning classification,2020-11-05T08:00:03+00:00
893000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 

https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing",173 - Intersection over Union (IoU) for semantic segmentation,2020-11-10T08:00:00+00:00
488000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",174  - What is PCA and how to use it to speed up machine learning training,2020-11-12T08:00:10+00:00
942000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",175 - Speeding up ML training using PCA - Breast cancer data set example,2020-11-17T08:00:07+00:00
754000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",176 -- Speeding up ML training using PCA - Multiclass image classification example,2020-11-19T08:00:08+00:00
551000,Make a plan and learn the basics.,This is the proper way to get started with python,2020-10-23T07:00:04+00:00
1445000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Segmentation Models library info:
pip install segmentation-models

https://github.com/qubvel/segmentation_models
Recommended for colab execution
TensorFlow ==2.1.0
keras ==2.3.1


For this demo it is working on a local workstation...
Python 3.5
TensorFlow ==1.
keras ==2

Dataset link: https://www.epfl.ch/labs/cvlab/data/data-em/",177 - Semantic segmentation made easy (using segmentation models library),2020-11-24T08:00:04+00:00
1030000,"Data download links: 
https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv

https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",166b - Forecasting COVID-19 cases using LSTM networks,2020-11-03T08:00:01+00:00
1059000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",178 - An introduction to variational autoencoders (VAE),2020-11-26T08:00:05+00:00
2063000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",179 - Variational autoencoders using keras on MNIST data,2020-12-01T08:00:01+00:00
1613000,"LSTM encoder - decoder network for anomaly detection.
Just look at the reconstruction error (MAE) of the autoencoder, define a threshold value for the error and tag any data above the threshold as anomaly.

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",180 - LSTM Autoencoder for anomaly detection,2020-12-03T08:00:01+00:00
1360000,"For a dataset just search online for 'yahoo finance GE' or any other stock of your interest. Then select history and download csv for the dates you are interested. 

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",181 - Multivariate time series forecasting using LSTM,2020-12-08T08:00:18+00:00
1317000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",182 - How to batch process multiple images in python?,2020-12-10T08:00:04+00:00
443000,"Optical character recognition (OCR)

References:
https://keras-ocr.readthedocs.io/en/latest/
https://github.com/clovaai/CRAFT-pytorch

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",183 - OCR in python using keras-ocr,2020-12-15T08:00:13+00:00
971000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",184 - Scheduling learning rate in keras,2020-12-17T08:00:08+00:00
283000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",185 - Hyperparameter tuning using GridSearchCV,2020-12-22T08:00:06+00:00
329000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",186 - A note about parallelization during hyperparameter search using GridSearchCV,2020-12-24T08:00:11+00:00
934000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",187 - Hyperparameter tuning for learning rate and momentum,2020-12-29T08:00:28+00:00
782000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists","188 - Hyperparameter tuning for activation function, optimizer and weight initialization",2020-12-31T08:00:31+00:00
624000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists","189 - Hyperparameter tuning for dropout, # neurons, batch size, # epochs, and weight constraint",2021-01-05T08:00:02+00:00
758000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",190 - Finding the best model between Random Forest & SVM via hyperparameter tuning,2021-01-07T08:00:06+00:00
743000,"Comparing images using using SIFT/ORB key point descriptors and SSIM. 

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",191 - Measuring image similarity in python,2021-01-12T08:00:00+00:00
1224000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists",192 - Working with 3D and multi-dimensional images in python,2021-01-14T08:00:10+00:00
1262000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Dataset used in the video: https://archive.ics.uci.edu/ml/datasets/breast+cancer+wisconsin+(diagnostic)

XGBoost documentation:
https://xgboost.readthedocs.io/en/latest/

Video by original author: https://youtu.be/ufHo8vbk6g4",193 - What is XGBoost and is it really better than Random Forest and Deep Learning?,2021-01-19T08:00:06+00:00
1962000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 

https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing

XGBoost documentation:
https://xgboost.readthedocs.io/en/latest/

Video by original author: https://youtu.be/ufHo8vbk6g4",194 - Semantic segmentation using XGBoost and VGG16 imagenet as feature extractor,2021-01-21T08:00:04+00:00
1033000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

XGBoost documentation:
https://xgboost.readthedocs.io/en/latest/

Video by original author: https://youtu.be/ufHo8vbk6g4",195 - Image classification using XGBoost and VGG16 imagenet as feature extractor,2021-01-26T08:00:00+00:00
1145000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

XGBoost documentation:
https://xgboost.readthedocs.io/en/latest/

https://lightgbm.readthedocs.io/en/latest/
pip install lightgbm

Dataset:
https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+(Diagnostic)",196 - What is Light GBM and how does it compare against XGBoost?,2021-01-28T08:00:27+00:00
1565000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 

https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing

Note: Annotate images at www.apeer.com to create labels. 

XGBoost documentation:
https://xgboost.readthedocs.io/en/latest/

https://lightgbm.readthedocs.io/en/latest/
pip install lightgbm",197 - Light GBM vs XGBoost for semantic image segmentation,2021-02-02T08:00:29+00:00
1010000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

https://pypi.org/project/Boruta/
pip install Boruta

XGBoost documentation:
https://xgboost.readthedocs.io/en/latest/

Dataset:
https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+(Diagnostic)",198 - Feature selection using Boruta in python,2021-02-04T08:00:06+00:00
705000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

https://en.wikipedia.org/wiki/Hough_transform

The origin is the top left corner of the original image. X and Y axis are 
horizontal and vertical edges respectively. The distance is the minimal 
algebraic distance from the origin to the detected line. The angle accuracy 
can be improved by decreasing the step size in the theta array.

https://scikit-image.org/docs/dev/auto_examples/edges/plot_line_hough_transform.html#sphx-glr-auto-examples-edges-plot-line-hough-transform-py

Image downloaded from: https://geometryhelp.net/wp-content/uploads/2019/04/intersecting-lines.jpg
Then inverted to dark background.",199 - Detecting straight lines using Hough transform in python,2021-02-09T08:00:01+00:00
1460000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

To install rasterio:
Download and install GDAL first
https://www.lfd.uci.edu/~gohlke/pythonlibs/#gdal
Since I have python 3.7 I downloaded: GDAL-3.1.4-cp37-cp37m-win_amd64.whl
cp37 stands for python3.7

Download and install rasterio
https://www.lfd.uci.edu/~gohlke/pythonlibs/#rasterio
Since I have python 3.7 I downloaded: rasterio-1.1.8-cp37-cp37m-win_amd64.whl
cp37 stands for python3.7

Images from: https://landsatonaws.com/L8/042/034/LC08_L1TP_042034_20180619_20180703_01_T1",201 - Working with geotiff files using rasterio in python (also quick demo of NDVI calculation),2021-02-16T08:00:10+00:00
1603000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Dataset link:
https://www.kaggle.com/kmader/skin-cancer-mnist-ham10000
Data description: 
https://arxiv.org/ftp/arxiv/papers/1803/1803.10417.pdf

The 7 classes of skin cancer lesions included in this dataset are:
Melanocytic nevi (nv)
Melanoma (mel)
Benign keratosis-like lesions (bkl)
Basal cell carcinoma (bcc) 
Actinic keratoses (akiec)
Vascular lesions (vas)
Dermatofibroma (df)",202 - Two ways to read HAM10000 dataset into python for skin cancer lesion classification,2021-02-18T02:28:38+00:00
1722000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Dataset link:
https://www.kaggle.com/kmader/skin-cancer-mnist-ham10000
Data description: 
https://arxiv.org/ftp/arxiv/papers/1803/1803.10417.pdf

The 7 classes of skin cancer lesions included in this dataset are:
Melanocytic nevi (nv)
Melanoma (mel)
Benign keratosis-like lesions (bkl)
Basal cell carcinoma (bcc) 
Actinic keratoses (akiec)
Vascular lesions (vas)
Dermatofibroma (df)",203 - Skin cancer lesion classification using the HAM10000 dataset,2021-02-23T08:00:16+00:00
1401000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Reference: 
https://scikit-image.org/docs/dev/auto_examples/features_detection/plot_glcm.html",200 - Image classification using gray-level co-occurrence matrix (GLCM) features and LGBM classifier,2021-02-11T08:00:00+00:00
1620000,"Do not apply a model trained on smaller images to directly segment large images -will not work!!! (Code shared to prove this point).

Divide images into patches of smaller sizes and then perform the prediction. 

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Dataset info: Electron microscopy (EM) dataset from
https://www.epfl.ch/labs/cvlab/data/data-em/

To annotate images and generate labels, you can use APEER (for free):
www.apeer.com 

To install patchify: pip install patchify",206 - The right way to segment large images by applying a trained U-Net model on smaller patches,2021-03-04T08:00:05+00:00
1143000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Dataset info: Electron microscopy (EM) dataset from
https://www.epfl.ch/labs/cvlab/data/data-em/

To annotate images and generate labels, you can use APEER (for free):
www.apeer.com",207 - Using IoU (Jaccard) as loss function to train U-Net for semantic segmentation,2021-03-09T08:00:02+00:00
1880000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 

https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing

To annotate images and generate labels, you can use APEER (for free):
www.apeer.com",208 - Multiclass semantic segmentation using U-Net,2021-03-11T08:00:08+00:00
988000,"Multiclass semantic segmentation using U-Net - prediction on large images
and 3D volumes (slice by slice)

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 

https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing


To annotate images and generate labels, you can use APEER (for free):
www.apeer.com",209 - Multiclass semantic segmentation using U-Net: Large images and 3D volumes (slice by slice),2021-03-17T07:00:07+00:00
2271000,"Multiclass semantic segmentation using U-Net with VGG, ResNet, and Inception as backbones.

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 

https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing

Segmentation models library documentation: 
https://github.com/qubvel/segmentation_models

To annotate images and generate labels, you can use APEER (for free):
www.apeer.com","210 - Multiclass U-Net using VGG, ResNet, and Inception as backbones",2021-03-24T07:00:02+00:00
1915000,"Multiclass semantic segmentation using Linknet and how does it compare against unet

Original paper on Unet: (2015)
    https://arxiv.org/pdf/1505.04597.pdf
    
Original paper on Linknet: (2017)
    https://arxiv.org/pdf/1707.03718.pdf
    
Can learn a bit more about backbone comparison here....
https://iopscience.iop.org/article/10.1088/1742-6596/1544/1/012196/pdf

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 
https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing



To annotate images and generate labels, you can use APEER (for free):
www.apeer.com

Segmentation models library documentation: 
https://github.com/qubvel/segmentation_models",211 - U-Net vs LinkNet for multiclass semantic segmentation,2021-03-31T07:00:10+00:00
1332000,"Classification of mnist hand sign language alphabets into 25 classes
(Z is not included as it includes a wave motion, not captured using a single image)
Dataset: https://www.kaggle.com/datamunge/sign-language-mnist

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Dataset: https://www.kaggle.com/datamunge/sign-language-mnist",212 - Classification of mnist sign language alphabets using deep learning,2021-04-07T07:00:00+00:00
1531000,"Classification of mnist hand sign language alphabets into 25 classes.
An ensemble of network results may provide improved accuracy compared to any single network. This video goes through the code that explains the ensemble process of the network predictions. 

Dataset: https://www.kaggle.com/datamunge/sign-language-mnist

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Dataset: https://www.kaggle.com/datamunge/sign-language-mnist",213 - Ensemble of networks for improved accuracy in deep learning,2021-04-14T09:00:00+00:00
1773000,"Improving semantic segmentation (U-Net) performance via ensemble of multiple trained networks.
ResNet34 + Inception V3 + VGG16

If you get an error while loading Segmentation models library, please follow these steps to fix the issue: https://youtu.be/syJZxDtLujs

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 
https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing


To annotate images and generate labels, you can use APEER (for free):
www.apeer.com 

Segmentation models library documentation: 
https://github.com/qubvel/segmentation_models",214 - Improving semantic segmentation (U-Net) performance via ensemble of multiple trained networks,2021-04-21T07:00:04+00:00
1474000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Dataset info: Electron microscopy (EM) dataset from
https://www.epfl.ch/labs/cvlab/data/data-em/

To annotate images and generate labels, you can use APEER (for free):
www.apeer.com",204 - U-Net for semantic segmentation of mitochondria,2021-02-25T08:00:08+00:00
1666000,"This video explains U-Net  segmentation of images followed by watershed
based separation of objects. Object properties will also be calculated.

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Dataset info: Electron microscopy (EM) dataset from
https://www.epfl.ch/labs/cvlab/data/data-em/

To annotate images and generate labels, you can use APEER (for free):
www.apeer.com",205 - U-Net plus watershed for instance segmentation,2021-03-02T08:00:09+00:00
